# AHRD-Version 3.11

Protein-Accession	Blast-Hit-Accession	AHRD-Quality-Code	Human-Readable-Description	Interpro-ID (Description)	Gene-Ontology-Term
OG0003562	tr|A0A2H4V3S9|A0A2H4V3S9_LUFAE	***	Abscisic acid receptor		
OG0003565	tr|A0A1S3C6W5|A0A1S3C6W5_CUCME	***	desumoylating isopeptidase 1		
OG0003564	tr|A0A5D3BLA4|A0A5D3BLA4_CUCME	***	Glutelin type-A 2-like		
OG0003567	tr|A0A0A0K9Y3|A0A0A0K9Y3_CUCSA	***	Pectinesterase		
OG0003566	tr|A0A6J1GXF0|A0A6J1GXF0_CUCMO	***	ureide permease 1-like		
OG0003569	tr|A0A6J1DZ67|A0A6J1DZ67_MOMCH	***	Ribonuclease T(2)		
OG0003568	AT4G13030.2	***	P-loop containing nucleoside triphosphate hydrolases superfamily protein		
OG0015530	tr|A0A0A0K669|A0A0A0K669_CUCSA	***	S-acyltransferase		
OG0015531	tr|A0A0A0K2R2|A0A0A0K2R2_CUCSA	***	Inorganic diphosphatase		
OG0015532	tr|A0A0A0K488|A0A0A0K488_CUCSA	***	Glutamate-1-semialdehyde 2,1-aminomutase		
OG0015533	tr|A0A0A0K295|A0A0A0K295_CUCSA	***	MFS domain-containing protein		
OG0015534	tr|A0A5A7SQK8|A0A5A7SQK8_CUCME	***	K(+) efflux antiporter 3		
OG0015535	tr|A0A0A0K2R8|A0A0A0K2R8_CUCSA	***	Peptide-methionine (R)-S-oxide reductase		
OG0015536	tr|A0A0A0K493|A0A0A0K493_CUCSA	***	RING-type domain-containing protein		
OG0015537	tr|A0A0A0K2A1|A0A0A0K2A1_CUCSA	***	RING-type domain-containing protein		
OG0015538	tr|A0A0A0K7L0|A0A0A0K7L0_CUCSA	***	RING-type domain-containing protein		
OG0015539	tr|A0A0A0K7L5|A0A0A0K7L5_CUCSA	***	RING-type domain-containing protein		
OG0015529	AT4G33670.1	***	NAD(P)-linked oxidoreductase superfamily protein		
OG0003550	tr|A0A5D3DGG1|A0A5D3DGG1_CUCME	***	Polyol transporter 5-like		
OG0003552	sp|P31022|RAB7_PEA	***	Ras-related protein Rab7		
OG0003551	tr|A0A6J1GJM6|A0A6J1GJM6_CUCMO	***	organ-specific protein S2-like isoform X2		
OG0003554	AT2G17290.1	***	Calcium-dependent protein kinase family protein		
OG0003553	tr|A0A5D3DHQ3|A0A5D3DHQ3_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0003556	tr|A0A6J1IH21|A0A6J1IH21_CUCMA	***	glutelin type-D 1-like		
OG0003555	tr|A0A1S3CI79|A0A1S3CI79_CUCME	***	heterogeneous nuclear ribonucleoprotein 1		
OG0003558	tr|A0A0A0K476|A0A0A0K476_CUCSA	***	Alkaline/neutral invertase		
OG0003557	tr|A0A1S3CGB4|A0A1S3CGB4_CUCME	***	Exocyst complex component SEC5		
OG0003559	tr|A0A6J5VJQ4|A0A6J5VJQ4_PRUAR	***	PHD-type domain-containing protein		
OG0003539	tr|A0A1S3CSH0|A0A1S3CSH0_CUCME	***	auxin-responsive protein SAUR71-like		
OG0015520	tr|A0A0A0K2P1|A0A0A0K2P1_CUCSA	***	RING-type E3 ubiquitin transferase		
OG0015521	AT2G14120.1	***	dynamin related protein		
OG0015522	tr|A0A6J1IA06|A0A6J1IA06_CUCMA	***	partner of Y14 and mago-like		
OG0015523	tr|A0A0A0K654|A0A0A0K654_CUCSA	***	Methylmalonate-semialdehyde dehydrogenase (CoA acylating)		
OG0015524	tr|A0A0A0K2P7|A0A0A0K2P7_CUCSA	***	Protein kinase domain-containing protein		
OG0015525	tr|A0A0A0K286|A0A0A0K286_CUCSA	***	Protein kinase domain-containing protein		
OG0015526	tr|A0A0A0K7J2|A0A0A0K7J2_CUCSA	***	Protein kinase domain-containing protein		
OG0015527	tr|A0A0A0K2Q7|A0A0A0K2Q7_CUCSA	***	Protein kinase domain-containing protein		
OG0015528	tr|A0A6J1DK00|A0A6J1DK00_MOMCH	***	Inositol-1,3,4-trisphosphate 5/6-kinase		
OG0015518	tr|A0A6J1CKL2|A0A6J1CKL2_MOMCH	***	root phototropism protein 3		
OG0015519	tr|A0A5D3C6J0|A0A5D3C6J0_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0003541	tr|A0A6J1GL22|A0A6J1GL22_CUCMO	***	peroxisomal 2,4-dienoyl-CoA reductase		
OG0003540	tr|A0A6J1GK84|A0A6J1GK84_CUCMO	***	protein PXR1 isoform X1		
OG0003543			Unknown protein		
OG0003542	tr|A0A5A7V762|A0A5A7V762_CUCME	***	Nuclear-pore anchor isoform X2		
OG0003545	tr|A0A0A0K3P3|A0A0A0K3P3_CUCSA	***	Glycosyltransferase		
OG0003544	tr|A0A0A0KPE2|A0A0A0KPE2_CUCSA	***	CTP synthase		
OG0003547	tr|A0A0A0K7L6|A0A0A0K7L6_CUCSA	***	PfkB domain-containing protein		
OG0003546	tr|A0A2R6Q5P8|A0A2R6Q5P8_ACTCC	***	Pentatricopeptide repeat-containing protein		
OG0003549	tr|A0A6J1JJX5|A0A6J1JJX5_CUCMA	***	polyol transporter 5-like		
OG0003548	tr|A0A1S3BGH2|A0A1S3BGH2_CUCME	***	polyol transporter 5		
OG0003529	tr|A0A0A0K5L7|A0A0A0K5L7_CUCSA	***	FRIGIDA-like protein		
OG0003528			Unknown protein		
OG0015510	tr|A0A0A0K2M8|A0A0A0K2M8_CUCSA	***	Guanosine nucleotide diphosphate dissociation inhibitor		
OG0015511			Unknown protein		
OG0015512	tr|Q7DMD5|Q7DMD5_CUCMA	*-*	Phloem filament protein		
OG0015513	tr|A0A0A0K2N3|A0A0A0K2N3_CUCSA	***	Peptidylprolyl isomerase		
OG0015514	AT1G58120.1	***	BEST Arabidopsis thaliana protein match is: methyltransferases .		
OG0015515	AT1G58122.1	*-*	conserved peptide upstream open reading frame 45		
OG0015516	tr|A0A0A0K644|A0A0A0K644_CUCSA	***	Cystatin domain containing protein		
OG0015517	tr|A0A6J1CJJ9|A0A6J1CJJ9_MOMCH	***	transcription factor bHLH143-like		
OG0015507	tr|A0A1S3BZU1|A0A1S3BZU1_CUCME	***	magnesium-dependent phosphatase 1		
OG0015508	tr|A0A0A0K7G3|A0A0A0K7G3_CUCSA	***	Protein kinase domain-containing protein		
OG0015509	tr|A0A0A0K633|A0A0A0K633_CUCSA	***	ULP_PROTEASE domain-containing protein		
OG0003530	tr|A0A5B6Z536|A0A5B6Z536_DAVIN	***	XS domain-containing protein		
OG0003532	tr|A0A1S3BG68|A0A1S3BG68_CUCME	***	photosystem II D1 precursor processing protein PSB27-H2, chloroplastic		
OG0003531			Unknown protein		
OG0003534	tr|A0A0A0K3H4|A0A0A0K3H4_CUCSA	***	Amine oxidase		
OG0003533	tr|A0A0A0K5M2|A0A0A0K5M2_CUCSA	***	Imidazoleglycerol-phosphate dehydratase		
OG0003536	tr|A0A0A0K3H8|A0A0A0K3H8_CUCSA	***	WRKY domain-containing protein		
OG0003535	tr|A0A2P5DIE7|A0A2P5DIE7_TREOI	***	Forkhead-associated domain protein		
OG0003538	tr|A0A0A0K5P9|A0A0A0K5P9_CUCSA	***	Non-specific serine/threonine protein kinase		
OG0003537	tr|A0A0A0K7H0|A0A0A0K7H0_CUCSA	***	Peptidyl-prolyl cis-trans isomerase		
OG0015580	tr|A0A6A3ASD5|A0A6A3ASD5_HIBSY	***	SWIB domain-containing protein		
OG0015581	tr|A0A5D3C6A4|A0A5D3C6A4_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0015582	tr|A0A5D3C4F0|A0A5D3C4F0_CUCME	***	MAR-binding filament-like protein 1 isoform 1		
OG0015583	tr|A0A0A0K7S8|A0A0A0K7S8_CUCSA	***	B-like cyclin		
OG0015584	tr|A0A1S3C141|A0A1S3C141_CUCME	***	TIP41-like protein		
OG0015585	tr|A0A1S3BZZ3|A0A1S3BZZ3_CUCME	***	transcription factor bHLH113		
OG0015586	tr|A0A0A0K6E9|A0A0A0K6E9_CUCSA	***	DNA repair protein REV1		
OG0015587	tr|A0A0A0K303|A0A0A0K303_CUCSA	***	SASA domain-containing protein		
OG0015588	tr|A0A1S3C0L3|A0A1S3C0L3_CUCME	***	protein TIC 21, chloroplastic		
OG0015589	AT2G15240.1	***	UNC-50 family protein		
OG0015570	tr|A0A1S3C0P4|A0A1S3C0P4_CUCME	***	zinc finger protein-like 1 homolog		
OG0015571	tr|A0A0A0K4G3|A0A0A0K4G3_CUCSA	***	ATP-dependent Clp protease proteolytic subunit		
OG0015572	tr|A0A1S3CSQ4|A0A1S3CSQ4_CUCME	***	zinc finger protein ZAT10-like		
OG0015573	tr|A0A1S3C019|A0A1S3C019_CUCME	***	QWRF motif-containing protein 2		
OG0015574	tr|B9SNC5|B9SNC5_RICCO	***	Amino acid transporter, putative		
OG0015575	AT4G30520.1	*-*	Leucine-rich repeat protein kinase family protein		
OG0015576			Unknown protein		
OG0015577	tr|A0A0A0K6D2|A0A0A0K6D2_CUCSA	***	RING-type domain-containing protein		
OG0015578	tr|A0A0A0K2Y7|A0A0A0K2Y7_CUCSA	***	Protein-serine/threonine phosphatase		
OG0015579	tr|A0A5A7SJN5|A0A5A7SJN5_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0003590	tr|A0A0A0KAJ7|A0A0A0KAJ7_CUCSA	***	Flavin-containing monooxygenase		
OG0003592	tr|A0A1S3B2B0|A0A1S3B2B0_CUCME	*-*	protein indeterminate-domain 2-like		
OG0003591	tr|A0A6J1JXP1|A0A6J1JXP1_CUCMA	***	piezo-type mechanosensitive ion channel homolog		
OG0003594	tr|A0A5D3D3Y2|A0A5D3D3Y2_CUCME	***	DUF724 domain-containing protein 7-like isoform X3		
OG0003593	tr|A0A5A7U057|A0A5A7U057_CUCME	***	Ankyrin repeat protein		
OG0003596	tr|Q0H394|Q0H394_CUCME	***	Carotenoid cleavage dioxygenase		
OG0003595	sp|Q96499|RL44_GOSHI	***	60S ribosomal protein L44		
OG0003598	tr|A0A0A0K8F7|A0A0A0K8F7_CUCSA	***	1,3-beta-glucan synthase		
OG0003597	tr|A0A0A0K612|A0A0A0K612_CUCSA	***	Nuclear transcription factor Y subunit		
OG0003599	tr|A0A0A0KBK3|A0A0A0KBK3_CUCSA	***	RING-type E3 ubiquitin transferase		
OG0015560	sp|Q8L9K4|SOFL5_ARATH	***	Protein SOB FIVE-LIKE 5		
OG0015561	AT1G10200.1	***	GATA type zinc finger transcription factor family protein		
OG0015562	tr|A0A4U5Q4L9|A0A4U5Q4L9_POPAL	***	ADP-ribosylation factor family protein		
OG0015563	sp|Q680B7|XYN4_ARATH	***	Endo-1,4-beta-xylanase 4		
OG0015564	tr|A0A0A0K2X3|A0A0A0K2X3_CUCSA	***	DNA polymerase kappa		
OG0015565	tr|A0A1S3C167|A0A1S3C167_CUCME	***	dual-specificity RNA methyltransferase RlmN		
OG0015566	tr|A0A6J1GM76|A0A6J1GM76_CUCMO	***	RINT1-like protein MAG2		
OG0015567	tr|A0A2P6PLG8|A0A2P6PLG8_ROSCH	***	Epidermal patterning factor-like protein		
OG0015568	tr|A0A1S3BZI6|A0A1S3BZI6_CUCME	***	vacuolar-sorting receptor 3-like		
OG0015569	tr|A0A5A7SJP5|A0A5A7SJP5_CUCME	***	Transcription factor bHLH54		
OG0003581	tr|A0A072U2K6|A0A072U2K6_MEDTR	***	Myb transcription factor		
OG0003580	tr|A0A6J1HA71|A0A6J1HA71_CUCMO	***	serine/threonine-protein kinase 38-like		
OG0003583	tr|A0A5A7UUQ3|A0A5A7UUQ3_CUCME	***	Pentatricopeptide repeat-containing protein		
OG0003582	tr|A0A5D3CCW4|A0A5D3CCW4_CUCME	***	Chromatin modification-related protein MEAF6		
OG0003585	tr|A0A1S3BR43|A0A1S3BR43_CUCME	***	ethylene-responsive transcription factor ERF098-like		
OG0003584	tr|A0A1S3BQG1|A0A1S3BQG1_CUCME	***	ethylene-responsive transcription factor 1B-like		
OG0003587	tr|A0A0A0K5P6|A0A0A0K5P6_CUCSA	***	Mitochondrial Rho GTPase		
OG0003586	tr|A0A1S3BRU2|A0A1S3BRU2_CUCME	***	hyoscyamine 6-dioxygenase-like		
OG0003589	tr|A0A1S3BRG9|A0A1S3BRG9_CUCME	***	classical arabinogalactan protein 26		
OG0003588	tr|A0A5D3D4L4|A0A5D3D4L4_CUCME	***	Basic 7S globulin 2		
OG0015550	tr|A0A2P5ECW9|A0A2P5ECW9_TREOI	***	Tunicamycin induced protein		
OG0015551	tr|A0A0A0K7N0|A0A0A0K7N0_CUCSA	***	Squalene monooxygenase		
OG0015552	tr|A0A5D3C950|A0A5D3C950_CUCME	***	DUF21 domain-containing protein		
OG0015553			Unknown protein		
OG0015554	tr|A0A6J1GLT8|A0A6J1GLT8_CUCMO	***	pathogenesis-related protein 1-like		
OG0015555	tr|A0A0A0K7P4|A0A0A0K7P4_CUCSA	***	Serine/threonine-protein kinase TOR		
OG0015556	tr|A0A6J1D3L5|A0A6J1D3L5_MOMCH	***	protein SHORT HYPOCOTYL IN WHITE LIGHT 1		
OG0015557	tr|A0A1S3BZZ7|A0A1S3BZZ7_CUCME	***	16S rRNA (uracil(1498)-N(3))-methyltransferase		
OG0015558	tr|A0A0A0K2E1|A0A0A0K2E1_CUCSA	***	Magnesium transporter		
OG0015559	tr|A0A2P5CZ51|A0A2P5CZ51_TREOI	***	Photosystem I reaction centre subunit N		
OG0003570	tr|A0A0A0K9Y8|A0A0A0K9Y8_CUCSA	***	PKS_ER domain-containing protein		
OG0003572	tr|A0A5D3CJ51|A0A5D3CJ51_CUCME	***	Membrane protein of ER body-like protein		
OG0003571	tr|A0A2P5CE91|A0A2P5CE91_TREOI	***	Peptidase S1, PA clan		
OG0003574	tr|A0A0A0K4N1|A0A0A0K4N1_CUCSA	***	Rab-GAP TBC domain-containing protein		
OG0003573	tr|A0A0A0K8F8|A0A0A0K8F8_CUCSA	***	Peptidylprolyl isomerase		
OG0003576	tr|A0A0A0K8G1|A0A0A0K8G1_CUCSA	***	Asparagine--tRNA ligase		
OG0003575	tr|A0A0A0KA17|A0A0A0KA17_CUCSA	***	EPIDERMAL PATTERNING FACTOR-like protein 9		
OG0003578	tr|A0A0A0K5D4|A0A0A0K5D4_CUCSA	***	LOB domain-containing protein		
OG0003577			Unknown protein		
OG0003579	tr|A0A5A7TF50|A0A5A7TF50_CUCME	***	Alpha/beta-Hydrolases superfamily protein		
OG0015590	tr|A0A1S3BZZ0|A0A1S3BZZ0_CUCME	***	cinnamyl alcohol dehydrogenase 1-like		
OG0015591	tr|A0A1S3BZE7|A0A1S3BZE7_CUCME	***	RNA pseudouridine synthase 4, mitochondrial		
OG0015592	tr|A0A0A0K4K6|A0A0A0K4K6_CUCSA	***	Glycosyltransferase		
OG0015593	tr|A0A0A0K2I5|A0A0A0K2I5_CUCSA	***	Glycosyltransferase		
OG0015594	tr|A0A0A0K6G1|A0A0A0K6G1_CUCSA	***	Glycosyltransferase		
OG0015595	tr|A0A0A0K315|A0A0A0K315_CUCSA	***	Glycosyltransferase		
OG0015596	tr|A0A0A0K4L2|A0A0A0K4L2_CUCSA	***	Lipase		
OG0015597	tr|A0A0A0K2J0|A0A0A0K2J0_CUCSA	***	Heat-shock protein		
OG0015598	tr|A0A4Y1RYY9|A0A4Y1RYY9_PRUDU	***	Plant basic secretory protein family protein		
OG0015599	AT2G15220.1	*-*	Plant basic secretory protein (BSP) family protein		
OG0003600	tr|A0A1S3CE38|A0A1S3CE38_CUCME	***	cinnamoyl-CoA reductase 1-like		
OG0003602	tr|A0A1S3CDU9|A0A1S3CDU9_CUCME	***	D-glycerate 3-kinase, chloroplastic isoform X1		
OG0003601	tr|A0A5A7UYS0|A0A5A7UYS0_CUCME	***	Caldesmon-like isoform X2		
OG0003604	tr|A0A5A7UZ85|A0A5A7UZ85_CUCME	***	Acyl-[acyl-carrier-protein] hydrolase		
OG0003603	tr|A0A0A0KC02|A0A0A0KC02_CUCSA	***	Auxin-responsive protein		
OG0003639	tr|A0A2R6R8Y0|A0A2R6R8Y0_ACTCC	***	Importin beta-like		
OG0003638	AT5G52882.1	*-*	P-loop containing nucleoside triphosphate hydrolases superfamily protein		
OG0015620	tr|A0A1S4E0G8|A0A1S4E0G8_CUCME	***	methylcrotonoyl-CoA carboxylase beta chain, mitochondrial		
OG0015621	tr|A0A0A0K2M6|A0A0A0K2M6_CUCSA	***	Thioredoxin domain-containing protein		
OG0015622	tr|A0A5D3C4A3|A0A5D3C4A3_CUCME	***	Cold regulated protein 27, putative isoform 2		
OG0015623	tr|A0A6J1GNL5|A0A6J1GNL5_CUCMO	***	glycoprotein 3-alpha-L-fucosyltransferase A-like		
OG0015624	tr|A0A1S3AWS3|A0A1S3AWS3_CUCME	***	Guanylate kinase		
OG0015625	tr|A0A5D3C5Y1|A0A5D3C5Y1_CUCME	***	Transcription factor bHLH95-like		
OG0015626	tr|A0A0A0K2N1|A0A0A0K2N1_CUCSA	***	Caffeoyl-CoA O-methyltransferase		
OG0015627	tr|A0A1S3BZQ3|A0A1S3BZQ3_CUCME	***	abscisic acid 8'-hydroxylase 4		
OG0015617	tr|A0A0A0K353|A0A0A0K353_CUCSA	***	RING-CH-type domain-containing protein		
OG0015618	tr|A0A0A0K4Q2|A0A0A0K4Q2_CUCSA	***	Diacylglycerol O-acyltransferase		
OG0015619	tr|A0A1S3C0H9|A0A1S3C0H9_CUCME	***	protein DJ-1 homolog C		
OG0003640	tr|A0A7J6WUG9|A0A7J6WUG9_THATH	*-*	Calcium-dependent lipid-binding family protein		
OG0003642	tr|A0A0A0LRJ8|A0A0A0LRJ8_CUCSA	***	Ribonuclease		
OG0003641	tr|A0A6J1G2H4|A0A6J1G2H4_CUCMO	***	60S acidic ribosomal protein P1-like		
OG0003644	tr|A0A0A0LNE7|A0A0A0LNE7_CUCSA	***	Floricaula/leafy-like transcription factor		
OG0003643	tr|A0A6J1JJ29|A0A6J1JJ29_CUCMA	***	carbonyl reductase [NADPH] 1-like		
OG0003646	tr|A0A5D3BF92|A0A5D3BF92_CUCME	***	Magnesium protoporphyrin IX methyltransferase		
OG0003645	tr|A0A0A0LRK6|A0A0A0LRK6_CUCSA	***	WD_REPEATS_REGION domain-containing protein		
OG0003648	tr|A0A6J1E0Y9|A0A6J1E0Y9_CUCMO	***	dual specificity protein phosphatase PHS1		
OG0003647	tr|A0A0A0LR27|A0A0A0LR27_CUCSA	***	Auxin response factor		
OG0003628	AT1G78060.1	***	Glycosyl hydrolase family protein		
OG0003627	tr|A0A1S3BC06|A0A1S3BC06_CUCME	***	ethylene-responsive transcription factor RAP2-4-like		
OG0003629	tr|A0A0A0LJU8|A0A0A0LJU8_CUCSA	***	Phosphoglycerate mutase (2,3-diphosphoglycerate-dependent)		
OG0015610	tr|A0A5A7SKQ4|A0A5A7SKQ4_CUCME	***	Leucine-rich repeat family protein		
OG0015611	tr|A0A5A7SKQ4|A0A5A7SKQ4_CUCME	***	Leucine-rich repeat family protein		
OG0015612	tr|A0A1S3C105|A0A1S3C105_CUCME	***	protein IRX15-LIKE-like		
OG0015613	tr|A0A0A0K6I4|A0A0A0K6I4_CUCSA	***	Glycosyltransferase		
OG0015614	tr|A0A0A0K347|A0A0A0K347_CUCSA	***	Glycosyltransferase		
OG0015615	tr|A0A0A0K2L5|A0A0A0K2L5_CUCSA	***	Glycosyltransferase		
OG0015616	tr|A0A6J1DN09|A0A6J1DN09_MOMCH	***	CBS domain-containing protein CBSX1, chloroplastic-like		
OG0015606	tr|A0A0A0K6H5|A0A0A0K6H5_CUCSA	***	C2 domain-containing protein		
OG0015607	tr|A0A1S3BZC3|A0A1S3BZC3_CUCME	***	phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and protein-tyrosine-phosphatase PTEN2A		
OG0015608			Unknown protein		
OG0015609	tr|A0A0A0K4N3|A0A0A0K4N3_CUCSA	***	Cysteine protease		
OG0003631	tr|A0A0A0LN12|A0A0A0LN12_CUCSA	***	Hexosyltransferase		
OG0003630	tr|Q2I307|Q2I307_VITPS	***	Pollen-specific protein		
OG0003633	tr|A0A5A7VB37|A0A5A7VB37_CUCME	***	ATP synthase subunit alpha		
OG0003632			Unknown protein		
OG0003635	tr|A0A0A0LJV3|A0A0A0LJV3_CUCSA	***	Auxin response factor		
OG0003634	tr|A0A5A7VCS9|A0A5A7VCS9_CUCME	***	Eukaryotic translation initiation factor 5-like		
OG0003637	tr|A0A1S3BC21|A0A1S3BC21_CUCME	***	RHOMBOID-like protein		
OG0003636	tr|A0A0A0LQA8|A0A0A0LQA8_CUCSA	***	GrpE protein homolog		
OG0003617			Unknown protein		
OG0003616	tr|A0A5A7V0R5|A0A5A7V0R5_CUCME	***	Beta-fructofuranosidase, insoluble isoenzyme CWINV1-like		
OG0003619	tr|A0A0A0K7X0|A0A0A0K7X0_CUCSA	***	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B		
OG0003618	tr|A0A5A7UW93|A0A5A7UW93_CUCME	***	Cytochrome p450		
OG0015600	AT2G15220.1	***	Plant basic secretory protein (BSP) family protein		
OG0015601	tr|A0A1S3BZY5|A0A1S3BZY5_CUCME	***	ADP-ribosylation factor 1		
OG0015602	tr|A0A5N5IES7|A0A5N5IES7_9ROSA	***	Inactive leucine-rich repeat receptor-like protein kinase		
OG0015603	AT4G35220.1	***	Cyclase family protein		
OG0015604	tr|A0A1S3BZX4|A0A1S3BZX4_CUCME	*-*	kynurenine formamidase		
OG0015605	tr|A0A0A0K7W0|A0A0A0K7W0_CUCSA	***	B-like cyclin		
OG0003620	tr|A0A2R6PSZ6|A0A2R6PSZ6_ACTCC	***	GDSL esterase/lipase		
OG0003622	tr|A0A6J1HVH1|A0A6J1HVH1_CUCMA	***	DNA-binding protein BIN4		
OG0003621	tr|A0A0A0LMG7|A0A0A0LMG7_CUCSA	***	Vesicle transport protein		
OG0003624	tr|A0A5A7VCB9|A0A5A7VCB9_CUCME	***	NDR1/HIN1-like protein 13		
OG0003623	tr|A0A5A7VGI7|A0A5A7VGI7_CUCME	***	F-box protein		
OG0003626	tr|A0A1S3BDC1|A0A1S3BDC1_CUCME	***	endoplasmic reticulum-Golgi intermediate compartment protein 3-like		
OG0003625	tr|A0A0A0LMA3|A0A0A0LMA3_CUCSA	***	Trehalose 6-phosphate phosphatase		
OG0003606	tr|A0A0A0KC23|A0A0A0KC23_CUCSA	***	Protein SYS1 homolog		
OG0003605	tr|A0A6J1KFN4|A0A6J1KFN4_CUCMA	***	nuclear pore complex protein NUP50A-like		
OG0003608	tr|A0A1S3CG67|A0A1S3CG67_CUCME	***	trihelix transcription factor ASIL2		
OG0003607	tr|A0A5D3BYU7|A0A5D3BYU7_CUCME	***	MAR-binding filament-like protein 1-1		
